0,Object ID,Title,Post Type,Author,Created At,URL,Points,Number of Comments
2294669,16044244,Ask HN: Do you remember your last year resolution?,ask_hn,ramshanker,2018-01-01 2:11,,5,0
2294670,16044255,Ask HN: 2018 resolutions?,ask_hn,justswim,2018-01-01 2:14,,176,249
2294671,16044268,Wav2letter – End to end speech recognition from FAIR,story,tim_sw,2018-01-01 2:17,https://www.facebook.com/yann.lecun/posts/10154992369657143,3,0
2294672,16044274,United States National Radio Quiet Zone,story,DoreenMichele,2018-01-01 2:18,https://en.wikipedia.org/wiki/United_States_National_Radio_Quiet_Zone,2,0
2294673,16044280,How to write your own custom middleware in Express application?,story,nodexplained,2018-01-01 2:20,https://www.nodexplained.com/blog-detail/2017/12/31/write-and-implement-middlewares-in-express-application-part-1,1,0
2294674,16044283,How to write router specific middleware in Express application?,story,nodexplained,2018-01-01 2:20,https://www.nodexplained.com/blog-detail/2017/12/31/write-and-implement-router-specific-middleware-in-express-application-part-2,1,0
2294675,16044311,Ask HN: What new podcasts and books are you planning to listen or read in 2018?,ask_hn,perseusprime11,2018-01-01 2:33,,11,2
2294676,16044335,What sugar does to your brain,story,piotrkaminski,2018-01-01 2:38,http://www.theage.com.au/interactive/2017/what-sugar-does-to-your-brain/,164,65
2294677,16044349,China wants to land on the far side of the moon,story,perseusprime11,2018-01-01 2:43,https://www.theguardian.com/science/2017/dec/31/china-mission-to-far-side-of-the-moon-space-discovery,3,0
2294678,16044362,U.S. oil production booms as new year begins,story,kimsk112,2018-01-01 2:46,https://www.msn.com/en-us/money/markets/us-oil-production-booms-as-new-year-begins/ar-BBHBtx6,32,22
2294679,16044371,Using the Blockchain to Fight Corruption,story,andrenth,2018-01-01 2:48,http://quillette.com/2017/12/25/using-blockchain-fight-corruption/,1,0
2294680,16044382,What Depth Psychology Can Tell Us About Victimhood Culture,story,andrenth,2018-01-01 2:50,http://quillette.com/2017/12/27/collision-reality-depth-psychology-can-tell-us-victimhood-culture/,20,0
2294681,16044397,Toshi: A Dapp Browser for the Ethereum Network,story,sna1l,2018-01-01 2:54,https://blog.toshi.org/toshi-a-dapp-browser-for-the-ethereum-network-5a64bde25757,3,0
2294682,16044435,Ask HN: Should I market my consulting work as my name or a brand/business name?,ask_hn,notdan,2018-01-01 3:04,,1,2
2294683,16044462,Start a blog with Harp (2013),story,indigodaddy,2018-01-01 3:14,http://kennethormandy.com/journal/start-a-blog-with-harp/,2,0
2294684,16044472,On the quantum “self-teleportation” probability of a human body,story,wadkar,2018-01-01 3:17,https://arxiv.org/abs/1712.08465,2,0
2294685,16044474,"The Amazon Flywheel: Part 2, Amazon and the Global Supply Chain",story,gmays,2018-01-01 3:17,http://www.samseely.com/blog/amznsupplychain,1,0
2294686,16044521,Coinbase Insolvent?,story,cobookman,2018-01-01 3:31,,26,22
2294687,16044532,Let us Apple users celebrate the new year,story,makecheck,2018-01-01 3:35,,2,0
2294688,16044568,"Tiny, weird online communities made a comeback in 2017",story,prostoalex,2018-01-01 3:46,https://www.theverge.com/2017/12/28/16795090/internet-community-2017-post-mortem-tumblr-amino-drip-tinyletter,268,84
2294689,16044578,Basic Corporate Governance Pattern in Variable Interest Entities (2016) [pdf],story,jpelecanos,2018-01-01 3:50,http://law.emory.edu/ecgar/_documents/volumes/3/3/perspectives/liu.pdf,1,0
2294690,16044624,China Shuts Down Its Legal Ivory Trade,story,dsr12,2018-01-01 4:04,https://relay.nationalgeographic.com/proxy/distribution/public/amp/2017/12/wildlife-watch-china-ivory-ban-goes-into-effect,89,16
2294691,16044628,"Bake, Don’t Fry (2002)",story,indigodaddy,2018-01-01 4:05,http://www.aaronsw.com/weblog/000404,5,0
2294692,16044644,How Do You Vote? 50M Google Images Give a Clue,story,dsr12,2018-01-01 4:10,https://nytimes.com/2017/12/31/technology/google-images-voters.html,82,53
2294693,16044667,Ask HN: What did you succeed at in 2017?,ask_hn,putnam,2018-01-01 4:17,,2,1
2294694,16044670,The Genetic Fallacy,story,tomrod,2018-01-01 4:18,https://rationalwiki.org/wiki/Genetic_fallacy,1,0
2294695,16044674,Ask HN: What was the ugliest trend in software development in 2017?,ask_hn,putnam,2018-01-01 4:19,,5,0
2294696,16044712,Linus merges the kernel page table isolation patch for Linux 4.15,story,chimtim,2018-01-01 4:31,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=5aa90a84589282b87666f92b6c3c917c8080a9bf,2,0
2294697,16044718,You are listening to San Francisco,story,sndean,2018-01-01 4:33,http://youarelistening.to/sanfrancisco,247,61
2294698,16044727,Ask HN: Any recommendations for an interactive web demo framework?,ask_hn,hatsunearu,2018-01-01 4:37,,4,2
2294699,16044732,Testing Microservices the sane way,story,alfiedotwtf,2018-01-01 4:38,https://medium.com/@copyconstruct/testing-microservices-the-sane-way-9bb31d158c16,160,45
2294700,16044737,No reserve. No retreat. No regret,story,meri_dian,2018-01-01 4:39,https://home.snu.edu/~hculbert/regret.htm,2,0
2294701,16044761,Ask HN: Any resources on deploying apps on IOTA?,ask_hn,febin,2018-01-01 4:49,,2,0
2294702,16044784,The problem with the entrepreneurial dream,story,nreece,2018-01-01 4:59,http://www.theage.com.au/small-business/managing/work-in-progress/the-problem-with-the-entrepreneurial-dream-20171221-h08p0w.html,1,1
2294703,16044829,"Under 'Kenyan Time,' You're Expected To Arrive, Oh, Whenever",story,arunc,2018-01-01 5:19,https://www.npr.org/sections/goatsandsoda/2017/12/31/574537270/under-kenyan-time-you-re-expected-to-arrive-oh-whenever,56,68
2294704,16044832,"A simple framework for working with tasks (on paper, with a pen)",story,osel,2018-01-01 5:20,https://pivotlist.com,4,0
2294705,16044850,"Introduction to Computing – Explorations in Language, Logic, and Machines (2013)",story,lainon,2018-01-01 5:27,http://www.cs.virginia.edu/~evans/ctbook/,2,0
2294706,16044857,Clutch one’s pearls,story,DoreenMichele,2018-01-01 5:30,http://www.word-detective.com/2014/08/clutch-ones-pearls/,2,0
2294707,16044873,Testing techniques in Go,story,astdb,2018-01-01 5:40,https://segment.com/blog/5-advanced-testing-techniques-in-go/,124,9
2294708,16044894,Logical Reasoning [pdf],story,lainon,2018-01-01 5:50,http://www.csus.edu/indiv/d/dowdenb/4/logical-reasoning.pdf,2,0
2294709,16044916,Elon to put car in spacebut why?,story,nikkinikki,2018-01-01 5:59,https://www.universetoday.com/138143/musks-roadster-loaded-aboard-falcon-heavy-preparation-inaugural-launch-1/,2,2
2294710,16044923,A New Class of Airborne Attacks That Can Remotely Compromise Linux/IoT Devices,story,lainon,2018-01-01 6:01,https://www.youtube.com/watch?v=WWQTlogqF1I,1,0
2294711,16044948,Ask HN: What are your tech-related New Year's resolutions?,ask_hn,anonu,2018-01-01 6:12,,10,10
2294712,16044958,"Not only is it possible to beat Google, it could happen sooner than we think",story,Nuzzerino,2018-01-01 6:16,https://www.quora.com/Is-it-possible-to-beat-Google/answer/Mark-Nuzzolilo-II?share=1,92,125
2294713,16044960,Kim Jong-un: North Korea's nuclear arsenal is now complete,story,nwrk,2018-01-01 6:16,https://www.theguardian.com/world/2018/jan/01/kim-jong-un-north-korea-nuclear-arsenal,1,0
2294714,16044962,Metric Expansion of Space,story,vinchuco,2018-01-01 6:17,https://en.wikipedia.org/wiki/Metric_expansion_of_space,2,0
2294715,16044966,"Show HN: Open Source In-Browser JavaScript Web Miner for XMR, ETN and BCN",show_hn,cryptonoter,2018-01-01 6:18,https://github.com/cryptonoter/CryptoNoter,1,0
2294716,16044969,PICASSO: High Performance R and Python Library for Sparse Learning,story,merkleforest,2018-01-01 6:18,https://github.com/jasonge27/picasso,2,0
2294717,16045046,Show HN: Clipper card PDF to CSV conversion,show_hn,leighmcculloch,2018-01-01 6:57,https://clippercardcsv.com/?,1,0
2294718,16045051,Show HN: The Exponential Project,show_hn,youcallmedragon,2018-01-01 7:00,https://exponentialproject.org,5,2
2294719,16045069,Urban Pulse: Capturing the Rhythm of Cities,story,lainon,2018-01-01 7:06,https://github.com/ViDA-NYU/urban-pulse,31,0
2294720,16045073,Spotting Field Sabotage in Meetings (2011),story,signa11,2018-01-01 7:06,https://whatsthepont.com/2011/06/19/spotting-field-sabotage/,104,36
2294721,16045080,Bitcoin–The Andromeda Strain of Computer Science Research,story,signa11,2018-01-01 7:09,https://www.cs.columbia.edu/~smb/blog/2017-12/2017-12-30.html,1,0
2294722,16045083,Vim-netranger,story,ipod825,2018-01-01 7:10,https://github.com/ipod825/vim-netranger,1,3
2294723,16045091,Samsung and LG say they don’t slow phones with older batteries like Apple,story,thisisit,2018-01-01 7:12,https://www.theverge.com/circuitbreaker/2017/12/29/16829512/samsung-lg-dont-slow-phones-older-batteries-apple,1,0
2294724,16045115,I spent 3 months applying to jobs after a coding bootcamp. Here’s what I learned,story,hliyan,2018-01-01 7:18,https://medium.freecodecamp.org/5-key-learnings-from-the-post-bootcamp-job-search-9a07468d2331,4,0
2294725,16045116,Why people believe others' social lives are richer than their own,story,lainon,2018-01-01 7:20,https://www.ncbi.nlm.nih.gov/pubmed/29189037,117,37
2294726,16045119,Show HN: Attend/Organize local Hackernews meetups,show_hn,raghavtoshniwal,2018-01-01 7:22,http://hackernews.city/,1,0
2294727,16045143,Can you write a C program without main function?,story,saqrais,2018-01-01 7:34,https://www.quora.com/Can-a-C-program-be-written-without-main/answer/Saquib-Rais?share=1,2,0
2294728,16045165,Copy-on-write friendly Python garbage collection,story,happy-go-lucky,2018-01-01 7:46,https://engineering.instagram.com/copy-on-write-friendly-python-garbage-collection-ad6ed5233ddf,196,52
2294729,16045168,Ask HN: Is attention span limited?,ask_hn,elkali,2018-01-01 7:48,,1,1
2294730,16045186,Ask HN: Is it possible to change the employer before joining in Berlin?,ask_hn,rejectiefied,2018-01-01 7:57,,2,0
2294731,16045191,The 25th IOCCC is open,story,mci,2018-01-01 7:59,http://www.ioccc.org/index.html#news,1,0
2294732,16045216,Show HN: MovingCollage – create video collages online,show_hn,stabiilize,2018-01-01 8:12,http://movingcollage.com,1,0
2294733,16045222,Ask HN: How can I learn to cook for myself without making decisions?,ask_hn,awaythrowaway,2018-01-01 8:14,,2,6
2651947,19607915,Millions of Netflix users are using someone else’s password,story,hhs,2019-04-08 18:43,https://www.recode.net/2019/4/8/18300256/netflix-password-sharing-14-percent-survey-content-experience-moffettnathanson,5,1
2651948,19607955,Nasa researchers catalogue all microbes and fungi on the ISS,story,maze-le,2019-04-08 18:47,https://www.eurekalert.org/pub_releases/2019-04/bc-nrc040319.php,1,0
2651949,19607972,A MIT Crash Course on Hacker Tools,story,fiberbrb,2019-04-08 18:49,https://www.i-programmer.info/news/90-tools/12668-a-mit-crash-course-on-hacker-tools.html,2,1
2651950,19607980,"Ask HN: Recommend a software release process for a small, agile team?",ask_hn,aklewenhagen,2019-04-08 18:50,,1,0
2651951,19607984,YaCy – Decentralized Web Search,story,droffel,2019-04-08 18:50,https://yacy.net/en/index.html,2,0
2651952,19607995,Dockerized Ethereum Private Environment Compatible with MetaMask and Remix,story,wslh,2019-04-08 18:52,https://blog.coinfabrik.com/dockerized-ethereum-private-testing-environment-compatible-with-metamask-and-remix/,7,0
2651953,19607996,"A Remarkable Rail Journey into the Horn of Africa’s Past, and Future",story,pseudolus,2019-04-08 18:52,https://www.nytimes.com/2019/04/08/travel/ethiopia-train-harar-addis-ababa.html,2,0
2651954,19608006,Kegworth Air Disaster,story,brian-armstrong,2019-04-08 18:53,https://en.wikipedia.org/wiki/Kegworth_air_disaster,3,0
2651955,19608009,Visualizing Recurrent Neural Networks,story,Permit,2019-04-08 18:54,http://joshvarty.github.io/VisualizingRNNs/,3,0
2651956,19608027,"Mobile Lending App Branch Partners with Visa, Announces $170M in Funding",story,kaboro,2019-04-08 18:56,https://www.forbes.com/sites/sarahhansen/2019/04/07/mobile-lending-app-branch-partners-with-visa-announces-170-million-in-fresh-funding/,1,0
2651957,19608040,The Strategic Independent,story,gk1,2019-04-08 18:57,https://tomcritchlow.com/2019/04/04/the-strategic-independent/,1,0
